time,open,high,low,close,tick_volume,spread,real_volume
2022-04-07 14:30:00+00:00,34470.2,34497.2,34459.2,34483.7,2989,100,0
2022-04-07 15:00:00+00:00,34484.0,34491.7,34412.2,34424.7,2621,100,0
2022-04-07 15:30:00+00:00,34424.2,34444.1,34381.2,34396.7,2974,100,0
2022-04-07 16:00:00+00:00,34397.9,34405.4,34347.7,34364.4,2936,100,0
2022-04-07 16:30:00+00:00,34364.6,34462.0,34296.2,34348.2,5430,100,0
2022-04-07 17:00:00+00:00,34346.2,34360.4,34229.7,34234.9,5098,100,0
2022-04-07 17:30:00+00:00,34235.1,34301.7,34179.7,34266.2,4968,100,0
2022-04-07 18:00:00+00:00,34266.1,34325.1,34232.1,34250.1,4790,100,0
2022-04-07 18:30:00+00:00,34253.6,34321.3,34217.6,34303.6,4532,100,0
2022-04-07 19:00:00+00:00,34303.8,34354.2,34287.1,34319.1,4265,100,0
2022-04-07 19:30:00+00:00,34319.1,34350.2,34295.1,34339.3,4002,100,0
2022-04-07 20:00:00+00:00,34339.1,34488.4,34331.7,34465.7,4465,100,0
2022-04-07 20:30:00+00:00,34468.3,34546.0,34438.6,34533.1,4144,100,0
2022-04-07 21:00:00+00:00,34531.6,34561.8,34486.1,34501.6,4099,100,0
2022-04-07 21:30:00+00:00,34497.2,34638.7,34482.1,34629.1,4191,100,0
2022-04-07 22:00:00+00:00,34620.1,34688.3,34605.1,34611.6,4484,100,0
2022-04-07 22:30:00+00:00,34612.1,34705.7,34575.1,34593.6,4440,100,0
2022-04-07 23:00:00+00:00,34590.8,34612.3,34555.1,34562.1,1775,100,0
2022-04-07 23:30:00+00:00,34562.1,34593.9,34557.6,34578.6,1044,100,0
2022-04-08 01:00:00+00:00,34576.1,34594.6,34574.1,34581.6,649,150,0
2022-04-08 01:30:00+00:00,34581.6,34591.1,34577.6,34587.6,592,150,0
2022-04-08 02:00:00+00:00,34587.6,34608.1,34578.1,34602.6,763,150,0
2022-04-08 02:30:00+00:00,34604.1,34624.1,34595.6,34612.1,1016,150,0
2022-04-08 03:00:00+00:00,34608.6,34620.5,34543.1,34545.1,1955,150,0
2022-04-08 03:30:00+00:00,34544.6,34573.2,34541.1,34573.2,1561,150,0
2022-04-08 04:00:00+00:00,34573.4,34579.1,34549.1,34554.6,1528,150,0
2022-04-08 04:30:00+00:00,34554.6,34574.1,34548.6,34553.9,1695,150,0
2022-04-08 05:00:00+00:00,34554.0,34568.6,34550.6,34568.6,1452,150,0
2022-04-08 05:30:00+00:00,34568.6,34607.2,34567.3,34606.6,1262,150,0
2022-04-08 06:00:00+00:00,34606.6,34611.1,34587.6,34597.6,1149,150,0
2022-04-08 06:30:00+00:00,34597.6,34600.5,34573.1,34584.1,1305,150,0
2022-04-08 07:00:00+00:00,34584.6,34586.6,34566.1,34576.1,962,150,0
2022-04-08 07:30:00+00:00,34576.1,34586.8,34560.7,34570.1,748,150,0
2022-04-08 08:00:00+00:00,34570.3,34605.6,34559.6,34593.6,1629,150,0
2022-04-08 08:30:00+00:00,34593.6,34625.1,34587.1,34618.0,1536,150,0
2022-04-08 09:00:00+00:00,34619.6,34665.0,34609.4,34647.9,2035,100,0
2022-04-08 09:30:00+00:00,34648.4,34679.1,34630.4,34667.1,2308,100,0
