time,open,high,low,close,tick_volume,spread,real_volume
2022-09-12 11:15:00+00:00,1.16766,1.16885,1.16745,1.16848,2191,0,0
2022-09-12 11:30:00+00:00,1.1684700000000001,1.16999,1.1684700000000001,1.16983,2065,0,0
2022-09-12 11:45:00+00:00,1.1698,1.17,1.16877,1.1691799999999999,1948,0,0
2022-09-12 12:00:00+00:00,1.1691799999999999,1.16954,1.16797,1.1684700000000001,1775,0,0
2022-09-12 12:15:00+00:00,1.1684700000000001,1.16885,1.16782,1.16849,1969,0,0
2022-09-12 12:30:00+00:00,1.16848,1.16848,1.16776,1.16801,1571,0,0
2022-09-12 12:45:00+00:00,1.16803,1.16851,1.16767,1.1678600000000001,1737,0,0
2022-09-12 13:00:00+00:00,1.16784,1.16788,1.16647,1.16693,2626,0,0
2022-09-12 13:15:00+00:00,1.16695,1.16776,1.16656,1.16685,1758,0,0
2022-09-12 13:30:00+00:00,1.16685,1.16747,1.16631,1.16746,1769,0,0
2022-09-12 13:45:00+00:00,1.16746,1.1685,1.16706,1.16821,1816,0,0
2022-09-12 14:00:00+00:00,1.16822,1.16864,1.16722,1.1676199999999999,1625,0,0
2022-09-12 14:15:00+00:00,1.1676199999999999,1.16784,1.1673,1.16775,1366,0,0
2022-09-12 14:30:00+00:00,1.16775,1.16928,1.16726,1.16921,1397,0,0
2022-09-12 14:45:00+00:00,1.16921,1.16951,1.16849,1.16904,1588,0,0
2022-09-12 15:00:00+00:00,1.16903,1.17045,1.16853,1.17021,2420,0,0
2022-09-12 15:15:00+00:00,1.17022,1.17031,1.16832,1.16836,2328,0,0
2022-09-12 15:30:00+00:00,1.16834,1.16934,1.16831,1.16851,1910,0,0
2022-09-12 15:45:00+00:00,1.16851,1.16936,1.16836,1.16922,1721,0,0
2022-09-12 16:00:00+00:00,1.16922,1.17013,1.16836,1.16938,2080,0,0
2022-09-12 16:15:00+00:00,1.16936,1.16939,1.16695,1.1679,2251,0,0
2022-09-12 16:30:00+00:00,1.16788,1.16803,1.16636,1.16763,2754,0,0
2022-09-12 16:45:00+00:00,1.16763,1.16881,1.16744,1.16876,2076,0,0
2022-09-12 17:00:00+00:00,1.16876,1.17079,1.16846,1.17044,2226,0,0
2022-09-12 17:15:00+00:00,1.17044,1.17073,1.16975,1.17,1806,0,0
2022-09-12 17:30:00+00:00,1.17,1.17033,1.16909,1.16934,2171,0,0
2022-09-12 17:45:00+00:00,1.16934,1.17108,1.16932,1.17033,2343,0,0
2022-09-12 18:00:00+00:00,1.17035,1.17086,1.16968,1.17044,1864,0,0
2022-09-12 18:15:00+00:00,1.17044,1.17071,1.16973,1.17027,1610,0,0
2022-09-12 18:30:00+00:00,1.17028,1.17062,1.16922,1.16989,1543,0,0
2022-09-12 18:45:00+00:00,1.1699,1.17022,1.16903,1.16968,1344,0,0
2022-09-12 19:00:00+00:00,1.16968,1.17037,1.16968,1.17032,1456,0,0
2022-09-12 19:15:00+00:00,1.17032,1.17038,1.16937,1.16993,1572,0,0
2022-09-12 19:30:00+00:00,1.16994,1.17031,1.16973,1.17009,1105,0,0
2022-09-12 19:45:00+00:00,1.17009,1.1709100000000001,1.17002,1.1709100000000001,1059,0,0
2022-09-12 20:00:00+00:00,1.1709100000000001,1.1709100000000001,1.17015,1.17048,1315,0,0
2022-09-12 20:15:00+00:00,1.17048,1.17078,1.17028,1.17038,852,0,0
