time,open,high,low,close,tick_volume,spread,real_volume
2010-09-24 11:00:00+00:00,113.144,113.397,113.07,113.159,1807,23,0
2010-09-24 12:00:00+00:00,113.158,113.193,112.967,113.1,1696,25,0
2010-09-24 13:00:00+00:00,113.109,113.176,113.048,113.147,1450,25,0
2010-09-24 14:00:00+00:00,113.158,113.449,113.065,113.432,2001,24,0
2010-09-24 15:00:00+00:00,113.409,113.516,113.237,113.464,2169,23,0
2010-09-24 16:00:00+00:00,113.463,113.548,113.332,113.491,1945,28,0
2010-09-24 17:00:00+00:00,113.467,113.671,113.467,113.524,1456,28,0
2010-09-24 18:00:00+00:00,113.511,113.706,113.511,113.626,951,25,0
2010-09-24 19:00:00+00:00,113.633,113.755,113.533,113.588,1009,28,0
2010-09-24 20:00:00+00:00,113.606,113.682,113.606,113.626,730,28,0
2010-09-24 21:00:00+00:00,113.647,113.732,113.612,113.669,846,28,0
2010-09-24 22:00:00+00:00,113.686,113.736,113.546,113.604,681,31,0
2010-09-27 00:00:00+00:00,113.71,113.74,113.599,113.638,1393,34,0
2010-09-27 01:00:00+00:00,113.637,113.751,113.633,113.655,1279,25,0
2010-09-27 02:00:00+00:00,113.657,113.713,113.537,113.578,1684,20,0
2010-09-27 03:00:00+00:00,113.58,113.633,113.384,113.438,2152,20,0
2010-09-27 04:00:00+00:00,113.441,113.471,113.366,113.398,1489,20,0
2010-09-27 05:00:00+00:00,113.4,113.458,113.359,113.402,944,20,0
2010-09-27 06:00:00+00:00,113.4,113.533,113.39,113.503,1451,20,0
2010-09-27 07:00:00+00:00,113.501,113.597,113.419,113.49,1547,20,0
2010-09-27 08:00:00+00:00,113.493,113.557,113.291,113.531,2398,20,0
2010-09-27 09:00:00+00:00,113.532,113.536,113.233,113.263,3217,25,0
2010-09-27 10:00:00+00:00,113.262,113.392,113.125,113.175,3360,27,0
2010-09-27 11:00:00+00:00,113.176,113.345,113.057,113.341,2909,26,0
2010-09-27 12:00:00+00:00,113.339,113.389,113.25,113.376,2090,26,0
2010-09-27 13:00:00+00:00,113.375,113.566,113.375,113.478,2577,24,0
2010-09-27 14:00:00+00:00,113.481,113.705,113.453,113.696,3170,24,0
2010-09-27 15:00:00+00:00,113.695,113.727,113.362,113.408,3687,24,0
2010-09-27 16:00:00+00:00,113.41,113.53,113.329,113.443,3549,24,0
2010-09-27 17:00:00+00:00,113.445,113.513,113.34,113.415,3053,24,0
2010-09-27 18:00:00+00:00,113.417,113.49,113.374,113.434,1915,26,0
2010-09-27 19:00:00+00:00,113.435,113.549,113.412,113.433,1597,27,0
2010-09-27 20:00:00+00:00,113.432,113.584,113.432,113.479,1668,26,0
2010-09-27 21:00:00+00:00,113.472,113.593,113.408,113.437,1629,25,0
2010-09-27 22:00:00+00:00,113.436,113.468,113.235,113.39,2002,27,0
2010-09-27 23:00:00+00:00,113.388,113.415,113.261,113.276,1199,32,0
2010-09-28 00:00:00+00:00,113.27,113.283,113.202,113.229,1041,29,0
2010-09-28 01:00:00+00:00,113.234,113.241,113.125,113.135,981,28,0
2010-09-28 02:00:00+00:00,113.14,113.36,113.137,113.345,2156,24,0
2010-09-28 03:00:00+00:00,113.346,113.36,113.157,113.2,1992,22,0
2010-09-28 04:00:00+00:00,113.196,113.42,113.188,113.41,1731,24,0
2010-09-28 05:00:00+00:00,113.413,113.48,113.348,113.371,1540,24,0
2010-09-28 06:00:00+00:00,113.375,113.44,113.371,113.412,1426,23,0
2010-09-28 07:00:00+00:00,113.411,113.425,113.27,113.271,1597,22,0
2010-09-28 08:00:00+00:00,113.27,113.295,112.862,112.864,3193,24,0
2010-09-28 09:00:00+00:00,112.862,112.964,112.664,112.876,3870,26,0
2010-09-28 10:00:00+00:00,112.873,113.093,112.815,112.908,3241,27,0
2010-09-28 11:00:00+00:00,112.889,113.524,112.834,113.417,3546,29,0
2010-09-28 12:00:00+00:00,113.419,113.508,113.123,113.123,3149,28,0
2010-09-28 13:00:00+00:00,113.122,113.456,113.09,113.213,2978,28,0
2010-09-28 14:00:00+00:00,113.209,113.317,113.119,113.289,2972,28,0
2010-09-28 15:00:00+00:00,113.291,113.571,113.032,113.117,4297,28,0
2010-09-28 16:00:00+00:00,113.109,113.686,112.876,113.667,4594,28,0
2010-09-28 17:00:00+00:00,113.665,113.856,113.537,113.824,3507,28,0
2010-09-28 18:00:00+00:00,113.823,113.849,113.601,113.673,2650,28,0
2010-09-28 19:00:00+00:00,113.67,113.801,113.622,113.742,1946,28,0
2010-09-28 20:00:00+00:00,113.743,113.844,113.684,113.833,2274,28,0
2010-09-28 21:00:00+00:00,113.831,114.009,113.828,113.98,1977,28,0
2010-09-28 22:00:00+00:00,113.981,114.003,113.879,113.923,1316,28,0
2010-09-28 23:00:00+00:00,113.924,113.943,113.811,113.861,782,31,0
2010-09-29 00:00:00+00:00,113.851,113.99,113.799,113.846,967,29,0
2010-09-29 01:00:00+00:00,113.845,113.956,113.786,113.907,1080,25,0
